entry_time,exit_time,direction,entry_price,exit_price,stop_loss,take_profit,result,pnl,r_multiple,symbol,strategy_name,trigger_reason,confidence_score
2026-05-27 16:30:00+00:00,2026-05-27 16:35:00+00:00,SELL,30115.50000,30029.95000,30159.27500,30029.45000,WIN,202.99,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (30139.27500) swept and reclaimed at 30116.00000, mid=30149.27500",1.00
2026-05-28 13:55:00+00:00,2026-05-28 14:40:00+00:00,SELL,29837.30000,29861.92500,29861.42500,29790.55000,LOSS,-108.09,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (29841.42500) swept and reclaimed at 29837.80000, mid=29851.42500",1.00
2026-05-29 14:05:00+00:00,2026-05-29 14:30:00+00:00,BUY,30276.00000,30251.60000,30252.10000,30322.30000,LOSS,-107.01,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (30272.10000) swept and reclaimed at 30275.50000, mid=30262.10000",1.00
2026-06-01 14:05:00+00:00,2026-06-01 16:10:00+00:00,SELL,30411.40000,30337.25000,30449.47500,30336.75000,WIN,202.05,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (30429.47500) swept and reclaimed at 30411.90000, mid=30439.47500",1.00
2026-06-02 14:05:00+00:00,2026-06-02 14:25:00+00:00,SELL,30451.80000,30493.15000,30492.65000,30371.60000,LOSS,-107.06,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (30472.65000) swept and reclaimed at 30452.30000, mid=30482.65000",1.00
2026-06-03 14:05:00+00:00,2026-06-03 15:30:00+00:00,BUY,30730.10000,30701.17500,30701.67500,30785.45000,LOSS,-106.54,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (30721.67500) swept and reclaimed at 30729.60000, mid=30711.67500",1.00
2026-06-04 14:35:00+00:00,2026-06-04 14:55:00+00:00,SELL,30182.20000,30216.57500,30216.07500,30115.95000,LOSS,-105.16,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (30196.07500) swept and reclaimed at 30182.70000, mid=30206.07500",1.00
2026-06-05 13:55:00+00:00,2026-06-05 14:20:00+00:00,SELL,30145.50000,30082.85000,30177.82500,30082.35000,WIN,198.82,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (30157.82500) swept and reclaimed at 30146.00000, mid=30167.82500",1.00
2026-06-08 14:10:00+00:00,2026-06-08 14:15:00+00:00,BUY,29226.80000,29293.35000,29192.52500,29293.85000,WIN,203.04,1.94,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29212.52500) swept and reclaimed at 29226.30000, mid=29202.52500",1.00
2026-06-09 16:40:00+00:00,2026-06-09 16:45:00+00:00,BUY,29646.90000,29724.15000,29607.27500,29724.65000,WIN,207.82,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29627.27500) swept and reclaimed at 29646.40000, mid=29617.27500",1.00
2026-06-10 13:55:00+00:00,2026-06-10 14:00:00+00:00,SELL,28747.90000,28776.85000,28776.35000,28692.50000,LOSS,-110.59,-1.02,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (28756.35000) swept and reclaimed at 28748.40000, mid=28766.35000",1.00
2026-06-11 14:00:00+00:00,2026-06-11 14:05:00+00:00,SELL,28844.90000,28788.35000,28874.17500,28787.85000,WIN,207.79,1.93,USTEC,NasdaqMidlineSweepStrategy,"Bearish midline sweep: lower boundary (28854.17500) swept and reclaimed at 28845.40000, mid=28864.17500",1.00
2026-06-12 14:05:00+00:00,2026-06-12 15:25:00+00:00,BUY,29556.20000,29509.60000,29510.10000,29646.90000,LOSS,-110.84,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (29530.10000) swept and reclaimed at 29555.70000, mid=29520.10000",1.00
2026-06-15 14:05:00+00:00,2026-06-15 16:30:00+00:00,BUY,30258.70000,30342.50000,30215.80000,30343.00000,WIN,212.02,1.95,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (30235.80000) swept and reclaimed at 30258.20000, mid=30225.80000",1.00
2026-06-16 14:05:00+00:00,2026-06-16 15:15:00+00:00,BUY,30632.80000,30590.70000,30591.20000,30714.50000,LOSS,-111.99,-1.01,USTEC,NasdaqMidlineSweepStrategy,"Bullish midline sweep: upper boundary (30611.20000) swept and reclaimed at 30632.30000, mid=30601.20000",1.00
