trade_num,entry_time,result,pnl,cumulative_pnl
325,2026-06-19T14:20:00+00:00,LOSS,-112.40,888.44
326,2026-06-22T14:05:00+00:00,WIN,214.01,1102.45
327,2026-06-23T15:25:00+00:00,WIN,211.44,1313.89
328,2026-06-24T13:55:00+00:00,LOSS,-114.73,1199.16
329,2026-06-25T14:05:00+00:00,LOSS,-113.63,1085.53
330,2026-06-26T14:05:00+00:00,LOSS,-112.18,973.35
331,2026-06-29T14:15:00+00:00,LOSS,-111.83,861.52
332,2026-06-30T16:35:00+00:00,WIN,214.71,1076.23
333,2026-07-01T13:55:00+00:00,LOSS,-113.23,963.00
334,2026-07-02T14:15:00+00:00,LOSS,-111.37,851.63
335,2026-07-03T14:55:00+00:00,WIN,207.87,1059.50
336,2026-07-06T14:00:00+00:00,LOSS,-112.67,946.83
337,2026-07-07T14:00:00+00:00,LOSS,-111.88,834.95
338,2026-07-08T14:00:00+00:00,LOSS,-109.98,724.97
339,2026-07-09T14:05:00+00:00,LOSS,-109.31,615.66
