day,session,direction,entry_time,entry_price,stop,exit_reason,recorded_spread_at_entry,spread_cost_used,risk,r_multiple_gross,r_multiple_net,pnl_usd_gross,pnl_usd_net
2022-09-12,09:30,LONG,2022-09-12 11:00:00-04:00,12681.1,12670.2,TP,0.0,3.0,10.9,3.0,2.7248,3000.0,2724.77
2022-09-13,09:30,SHORT,2022-09-13 10:10:00-04:00,12321.1,12345.1,TP,0.0,3.0,24.0,3.0,2.875,3000.0,2875.0
2022-09-14,09:30,LONG,2022-09-14 09:50:00-04:00,12081.7,12053.6,SL,0.0,3.0,28.1,-1.0,-1.1068,-1000.0,-1106.76
2022-09-15,09:30,LONG,2022-09-15 09:55:00-04:00,12120.9,12094.3,SL,0.0,3.0,26.6,-1.0,-1.1128,-1000.0,-1112.78
2022-09-16,09:30,LONG,2022-09-16 10:40:00-04:00,11810.6,11779.0,SL,0.0,3.0,31.6,-1.0,-1.0949,-1000.0,-1094.94
2022-09-19,09:30,LONG,2022-09-19 10:50:00-04:00,11875.9,11845.4,SL,0.0,3.0,30.5,-1.0,-1.0984,-1000.0,-1098.36
2022-09-20,09:30,LONG,2022-09-20 11:00:00-04:00,11878.7,11872.8,TP,0.0,3.0,5.9,3.0,2.4915,3000.0,2491.53
2022-09-21,09:30,SHORT,2022-09-21 10:50:00-04:00,11897.7,11904.0,TP,0.0,3.0,6.3,3.0,2.5238,3000.0,2523.81
2022-09-22,09:30,SHORT,2022-09-22 11:45:00-04:00,11500.3,11513.6,SL,0.0,3.0,13.3,-1.0,-1.2256,-1000.0,-1225.56
2022-09-23,09:30,SHORT,2022-09-23 10:05:00-04:00,11292.7,11309.7,SL,0.0,3.0,17.0,-1.0,-1.1765,-1000.0,-1176.47
2022-09-26,09:30,LONG,2022-09-26 10:10:00-04:00,11392.6,11390.0,TP,0.0,3.0,2.6,3.0,1.8462,3000.0,1846.15
2022-09-27,09:30,LONG,2022-09-27 09:45:00-04:00,11467.9,11465.5,SL,0.0,3.0,2.4,-1.0,-2.25,-1000.0,-2250.0
2022-09-30,09:30,LONG,2022-09-30 10:00:00-04:00,11165.7,11136.3,SL,0.0,3.0,29.4,-1.0,-1.102,-1000.0,-1102.04
2022-10-03,09:30,LONG,2022-10-03 10:10:00-04:00,11093.5,11028.7,TP,0.0,3.0,64.8,3.0,2.9537,3000.0,2953.7
2022-10-04,09:30,LONG,2022-10-04 13:05:00-04:00,11514.0,11498.0,SL,0.0,3.0,16.0,-1.0,-1.1875,-1000.0,-1187.5
2022-10-05,09:30,SHORT,2022-10-05 10:10:00-04:00,11385.4,11416.0,SL,0.0,3.0,30.6,-1.0,-1.098,-1000.0,-1098.04
2022-10-06,09:30,LONG,2022-10-06 09:45:00-04:00,11619.3,11591.5,SL,0.0,3.0,27.8,-1.0,-1.1079,-1000.0,-1107.91
2022-10-10,09:30,SHORT,2022-10-10 10:20:00-04:00,10977.1,10988.5,SL,0.0,3.0,11.4,-1.0,-1.2632,-1000.0,-1263.16
2022-10-11,09:30,SHORT,2022-10-11 09:45:00-04:00,10838.1,10844.5,SL,0.0,3.0,6.4,-1.0,-1.4688,-1000.0,-1468.75
2022-10-12,09:30,LONG,2022-10-12 10:05:00-04:00,10825.7,10783.3,SL,0.0,3.0,42.4,-1.0,-1.0708,-1000.0,-1070.75
2022-10-17,09:30,LONG,2022-10-17 09:45:00-04:00,11037.4,10994.2,SL,0.0,3.0,43.2,-1.0,-1.0694,-1000.0,-1069.44
2022-10-18,09:30,SHORT,2022-10-18 10:00:00-04:00,11289.1,11319.1,TP,0.0,3.0,30.0,3.0,2.9,3000.0,2900.0
2022-10-19,09:30,SHORT,2022-10-19 09:50:00-04:00,11116.6,11131.4,SL,0.0,3.0,14.8,-1.0,-1.2027,-1000.0,-1202.7
2022-10-20,09:30,LONG,2022-10-20 12:45:00-04:00,11114.5,11067.0,SL,0.0,3.0,47.5,-1.0,-1.0632,-1000.0,-1063.16
2022-10-21,09:30,LONG,2022-10-21 10:20:00-04:00,11118.1,11115.4,SL,0.0,3.0,2.7,-1.0,-2.1111,-1000.0,-2111.11
2022-10-24,09:30,SHORT,2022-10-24 10:35:00-04:00,11264.9,11324.9,SL,0.0,3.0,60.0,-1.0,-1.05,-1000.0,-1050.0
2022-10-25,09:30,LONG,2022-10-25 10:35:00-04:00,11578.9,11522.9,SL,0.0,3.0,56.0,-1.0,-1.0536,-1000.0,-1053.57
2022-10-26,09:30,LONG,2022-10-26 10:55:00-04:00,11574.9,11546.2,TP,0.0,3.0,28.7,3.0,2.8955,3000.0,2895.47
2022-10-27,09:30,SHORT,2022-10-27 10:05:00-04:00,11296.6,11371.3,SL,0.0,3.0,74.7,-1.0,-1.0402,-1000.0,-1040.16
2022-10-28,09:30,LONG,2022-10-28 09:50:00-04:00,11287.7,11251.7,SL,0.0,3.0,36.0,-1.0,-1.0833,-1000.0,-1083.33
2022-10-31,09:30,SHORT,2022-10-31 09:55:00-04:00,11401.6,11438.6,SL,0.0,3.0,37.0,-1.0,-1.0811,-1000.0,-1081.08
2022-11-02,09:30,SHORT,2022-11-02 11:35:00-04:00,11210.6,11228.8,SL,0.0,3.0,18.2,-1.0,-1.1648,-1000.0,-1164.84
2022-11-03,09:30,SHORT,2022-11-03 10:10:00-04:00,10760.5,10795.7,SL,0.0,3.0,35.2,-1.0,-1.0852,-1000.0,-1085.23
2022-11-04,09:30,SHORT,2022-11-04 09:55:00-04:00,10795.9,10832.9,SL,0.0,3.0,37.0,-1.0,-1.0811,-1000.0,-1081.08
2022-11-07,09:30,SHORT,2022-11-07 10:35:00-05:00,10868.2,10894.5,SL,0.0,3.0,26.3,-1.0,-1.1141,-1000.0,-1114.07
2022-11-08,09:30,LONG,2022-11-08 10:00:00-05:00,11033.7,11008.2,TP,0.0,3.0,25.5,3.0,2.8824,3000.0,2882.35
2022-11-09,09:30,LONG,2022-11-09 10:25:00-05:00,10978.3,10966.7,SL,0.0,3.0,11.6,-1.0,-1.2586,-1000.0,-1258.62
2022-11-10,09:30,LONG,2022-11-10 10:35:00-05:00,11335.1,11282.2,TP,0.0,3.0,52.9,3.0,2.9433,3000.0,2943.29
2022-11-11,09:30,LONG,2022-11-11 10:00:00-05:00,11595.8,11562.2,TP,0.0,3.0,33.6,3.0,2.9107,3000.0,2910.71
2022-11-14,09:30,LONG,2022-11-14 10:25:00-05:00,11734.9,11719.1,TP,0.0,3.0,15.8,3.0,2.8101,3000.0,2810.13
2022-11-15,09:30,SHORT,2022-11-15 09:55:00-05:00,11969.8,11986.4,SL,0.0,3.0,16.6,-1.0,-1.1807,-1000.0,-1180.72
2022-11-16,09:30,SHORT,2022-11-16 09:55:00-05:00,11747.7,11772.7,SL,0.0,3.0,25.0,-1.0,-1.12,-1000.0,-1120.0
2022-11-17,09:30,LONG,2022-11-17 09:50:00-05:00,11576.6,11553.9,SL,0.0,3.0,22.7,-1.0,-1.1322,-1000.0,-1132.16
2022-11-18,09:30,SHORT,2022-11-18 10:15:00-05:00,11684.0,11726.8,EOD,0.0,3.0,42.8,0.5701,0.5,570.09,500.0
2022-11-21,09:30,LONG,2022-11-21 09:55:00-05:00,11651.6,11629.4,SL,0.0,3.0,22.2,-1.0,-1.1351,-1000.0,-1135.14
2022-11-22,09:30,SHORT,2022-11-22 10:00:00-05:00,11539.3,11571.2,SL,0.0,3.0,31.9,-1.0,-1.094,-1000.0,-1094.04
