day,direction,fvg_confirm_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2026-03-25,SHORT,2026-03-25 12:15:00-04:00,2026-03-25 12:30:00-04:00,24217.15,24273.15,24049.15,2026-03-25 14:30:00-04:00,24273.15,SL,-1.0,-1000.0
2026-03-26,LONG,2026-03-26 10:15:00-04:00,2026-03-26 10:30:00-04:00,23917.15,23908.95,23941.750000000004,2026-03-26 10:30:00-04:00,23908.95,SL,-1.0,-1000.0
2026-03-27,SHORT,2026-03-27 13:15:00-04:00,2026-03-27 14:00:00-04:00,23326.15,23358.55,23228.950000000008,2026-03-27 14:15:00-04:00,23228.950000000008,TP,3.0,3000.0
2026-03-30,LONG,2026-03-30 11:45:00-04:00,2026-03-30 12:00:00-04:00,23186.05,23147.25,23302.449999999997,2026-03-30 12:00:00-04:00,23147.25,SL,-1.0,-1000.0
2026-03-31,LONG,2026-03-31 10:00:00-04:00,2026-03-31 10:30:00-04:00,23313.25,23233.85,23551.450000000004,2026-03-31 10:45:00-04:00,23233.85,SL,-1.0,-1000.0
2026-04-01,LONG,2026-04-01 10:15:00-04:00,2026-04-01 10:30:00-04:00,23971.55,23937.25,24074.449999999997,2026-04-01 10:45:00-04:00,24074.449999999997,TP,3.0,3000.0
2026-04-06,SHORT,2026-04-06 10:45:00-04:00,2026-04-06 11:00:00-04:00,24152.95,24191.95,24035.95,2026-04-06 13:00:00-04:00,24035.95,TP,3.0,3000.0
2026-04-07,SHORT,2026-04-07 10:00:00-04:00,2026-04-07 10:15:00-04:00,23958.35,24026.55,23753.749999999996,2026-04-07 12:00:00-04:00,24026.55,SL,-1.0,-1000.0
2026-04-08,SHORT,2026-04-08 10:45:00-04:00,2026-04-08 11:00:00-04:00,24865.25,24882.55,24813.350000000002,2026-04-08 11:00:00-04:00,24813.350000000002,TP,3.0,3000.0
2026-04-09,SHORT,2026-04-09 10:30:00-04:00,2026-04-09 10:45:00-04:00,24824.25,24839.75,24777.75,2026-04-09 10:45:00-04:00,24839.75,SL,-1.0,-1000.0
2026-04-10,SHORT,2026-04-10 11:45:00-04:00,2026-04-10 16:30:00-04:00,25148.55,25182.25,25047.449999999997,2026-04-10 16:45:00-04:00,25168.05,EOD,-0.5786,-578.64
2026-04-13,LONG,2026-04-13 10:00:00-04:00,2026-04-13 10:15:00-04:00,25110.85,25017.05,25392.249999999996,2026-04-13 16:00:00-04:00,25392.249999999996,TP,3.0,3000.0
2026-04-14,LONG,2026-04-14 10:15:00-04:00,2026-04-14 11:00:00-04:00,25603.15,25559.85,25733.05000000001,2026-04-14 11:45:00-04:00,25733.05000000001,TP,3.0,3000.0
2026-04-16,LONG,2026-04-16 10:45:00-04:00,2026-04-16 14:15:00-04:00,26224.05,26191.15,26322.749999999993,2026-04-16 15:45:00-04:00,26322.749999999993,TP,3.0,3000.0
2026-04-17,LONG,2026-04-17 10:00:00-04:00,2026-04-17 10:15:00-04:00,26570.35,26550.25,26630.649999999994,2026-04-17 10:30:00-04:00,26630.649999999994,TP,3.0,3000.0
2026-04-20,SHORT,2026-04-20 11:00:00-04:00,2026-04-20 11:15:00-04:00,26503.25,26538.95,26396.149999999998,2026-04-20 11:15:00-04:00,26538.95,SL,-1.0,-1000.0
2026-04-21,SHORT,2026-04-21 11:00:00-04:00,2026-04-21 11:15:00-04:00,26615.25,26668.55,26455.350000000002,2026-04-21 13:15:00-04:00,26455.350000000002,TP,3.0,3000.0
2026-04-22,LONG,2026-04-22 10:15:00-04:00,2026-04-22 20:15:00-04:00,26769.55,26712.05,26942.05,2026-04-22 20:15:00-04:00,26712.05,SL,-1.0,-1000.0
2026-04-23,LONG,2026-04-23 10:45:00-04:00,2026-04-23 13:00:00-04:00,26883.95,26864.65,26941.85,2026-04-23 13:00:00-04:00,26864.65,SL,-1.0,-1000.0
2026-04-27,SHORT,2026-04-27 14:45:00-04:00,2026-04-27 15:00:00-04:00,27271.53,27286.77,27225.809999999994,2026-04-27 15:15:00-04:00,27286.77,SL,-1.0,-1000.0
2026-04-28,SHORT,2026-04-28 10:45:00-04:00,2026-04-28 11:00:00-04:00,26975.66,27032.02,26806.579999999998,2026-04-28 14:15:00-04:00,27032.02,SL,-1.0,-1000.0
2026-04-29,LONG,2026-04-29 10:30:00-04:00,2026-04-29 11:00:00-04:00,27114.29,27080.91,27214.430000000004,2026-04-29 11:45:00-04:00,27080.91,SL,-1.0,-1000.0
2026-04-30,LONG,2026-04-30 11:00:00-04:00,2026-04-30 11:30:00-04:00,27224.39,27113.06,27558.379999999994,2026-04-30 23:45:00-04:00,27508.56,EOD,2.5525,2552.5
2026-05-01,LONG,2026-05-01 10:00:00-04:00,2026-05-01 10:30:00-04:00,27718.41,27653.68,27912.6,2026-05-01 10:30:00-04:00,27653.68,SL,-1.0,-1000.0
2026-05-05,LONG,2026-05-05 11:15:00-04:00,2026-05-05 11:30:00-04:00,27989.53,27969.95,28048.269999999993,2026-05-05 12:15:00-04:00,27969.95,SL,-1.0,-1000.0
2026-05-06,LONG,2026-05-06 10:45:00-04:00,2026-05-06 12:45:00-04:00,28396.79,28297.23,28695.470000000005,2026-05-06 23:45:00-04:00,28569.07,EOD,1.7304,1730.41
2026-05-07,LONG,2026-05-07 10:15:00-04:00,2026-05-07 11:45:00-04:00,28700.37,28659.98,28821.539999999997,2026-05-07 11:45:00-04:00,28659.98,SL,-1.0,-1000.0
2026-05-08,LONG,2026-05-08 10:00:00-04:00,2026-05-08 10:30:00-04:00,28953.4,28873.33,29193.61,2026-05-08 13:30:00-04:00,29193.61,TP,3.0,3000.0
