day,setup_type,direction,signal_time,entry_time,entry_price,stop,target,exit_time,exit_price,exit_reason,r_multiple,pnl_usd
2025-05-09,reversal,SHORT,2025-05-09 09:35:00-04:00,2025-05-09 09:45:00-04:00,20164.85,20197.06238278556,20100.425234428876,2025-05-09 10:20:00-04:00,20100.425234428876,TP,2.0,1000.0
2025-05-14,reversal,SHORT,2025-05-14 09:35:00-04:00,2025-05-14 09:45:00-04:00,21261.6,21323.708549350387,21137.38290129922,2025-05-14 12:30:00-04:00,21323.708549350387,SL,-1.0,-500.0
2025-05-22,reversal,LONG,2025-05-22 09:35:00-04:00,2025-05-22 09:55:00-04:00,21160.95,21042.728930567777,21397.39213886445,2025-05-22 23:55:00-04:00,21120.15,EOD,-0.3451,-172.56
2025-05-27,reversal,LONG,2025-05-27 09:35:00-04:00,2025-05-27 09:50:00-04:00,21191.25,21131.952729965982,21309.844540068036,2025-05-27 10:15:00-04:00,21309.844540068036,TP,2.0,1000.0
2025-06-02,reversal,SHORT,2025-06-02 09:45:00-04:00,2025-06-02 09:55:00-04:00,21303.85,21390.337387121646,21130.875225756703,2025-06-02 11:50:00-04:00,21390.337387121646,SL,-1.0,-500.0
2025-06-03,reversal,LONG,2025-06-03 09:35:00-04:00,2025-06-03 09:45:00-04:00,21535.95,21465.46560105206,21676.918797895883,2025-06-03 12:30:00-04:00,21676.918797895883,TP,2.0,1000.0
2025-06-20,reversal,SHORT,2025-06-20 09:45:00-04:00,2025-06-20 09:55:00-04:00,21820.9,21898.794788907933,21665.110422184138,2025-06-20 10:25:00-04:00,21665.110422184138,TP,2.0,1000.0
2025-07-03,reversal,LONG,2025-07-03 09:40:00-04:00,2025-07-03 09:55:00-04:00,22785.9,22726.348904623446,22905.00219075311,2025-07-03 21:00:00-04:00,22831.6,EOD,0.7674,383.7
2025-09-18,reversal,SHORT,2025-09-18 09:35:00-04:00,2025-09-18 09:45:00-04:00,24409.7,24468.02127634201,24293.057447315983,2025-09-18 10:00:00-04:00,24468.02127634201,SL,-1.0,-500.0
2025-10-01,reversal,SHORT,2025-10-01 09:35:00-04:00,2025-10-01 09:50:00-04:00,24560.2,24622.605109336593,24435.389781326816,2025-10-01 10:15:00-04:00,24622.605109336593,SL,-1.0,-500.0
2025-10-17,reversal,LONG,2025-10-17 09:45:00-04:00,2025-10-17 09:55:00-04:00,24651.2,24505.05976920573,24943.48046158854,2025-10-17 15:55:00-04:00,24820.2,EOD,1.1564,578.21
2025-10-22,reversal,LONG,2025-10-22 09:35:00-04:00,2025-10-22 09:45:00-04:00,25074.7,25008.797042801492,25206.505914397017,2025-10-22 10:25:00-04:00,25008.797042801492,SL,-1.0,-500.0
2025-11-11,reversal,SHORT,2025-11-11 09:35:00-05:00,2025-11-11 09:50:00-05:00,25485.3,25546.190278673632,25363.519442652734,2025-11-11 13:15:00-05:00,25546.190278673632,SL,-1.0,-500.0
2025-12-01,reversal,LONG,2025-12-01 09:40:00-05:00,2025-12-01 09:50:00-05:00,25243.8,25155.402361493718,25420.595277012562,2025-12-01 12:40:00-05:00,25420.595277012562,TP,2.0,1000.0
2025-12-22,reversal,LONG,2025-12-22 09:35:00-05:00,2025-12-22 09:55:00-05:00,25502.6,25439.96768264844,25627.864634703117,2025-12-22 10:15:00-05:00,25439.96768264844,SL,-1.0,-500.0
2025-12-23,reversal,SHORT,2025-12-23 09:45:00-05:00,2025-12-23 09:55:00-05:00,25474.1,25520.406975846166,25381.486048307663,2025-12-23 11:40:00-05:00,25520.406975846166,SL,-1.0,-500.0
2026-01-19,reversal,LONG,2026-01-19 09:45:00-05:00,2026-01-19 09:55:00-05:00,25131.3,25079.83630081453,25234.227398370935,2026-01-19 12:05:00-05:00,25234.227398370935,TP,2.0,1000.0
2026-01-21,reversal,LONG,2026-01-21 09:35:00-05:00,2026-01-21 09:55:00-05:00,25131.7,24992.775742091155,25409.548515817693,2026-01-21 14:40:00-05:00,25409.548515817693,TP,2.0,1000.0
2026-02-19,reversal,LONG,2026-02-19 09:35:00-05:00,2026-02-19 09:55:00-05:00,24795.3,24692.18466387861,25001.53067224278,2026-02-19 13:20:00-05:00,24692.18466387861,SL,-1.0,-500.0
2026-03-12,reversal,SHORT,2026-03-12 09:35:00-04:00,2026-03-12 09:45:00-04:00,24738.0,24814.5169088428,24584.966182314398,2026-03-12 10:30:00-04:00,24584.966182314398,TP,2.0,1000.0
2026-03-25,reversal,SHORT,2026-03-25 09:40:00-04:00,2026-03-25 09:50:00-04:00,24209.7,24315.81078221917,23997.47843556166,2026-03-25 23:55:00-04:00,24171.5,EOD,0.36,180.0
2026-04-06,reversal,LONG,2026-04-06 09:35:00-04:00,2026-04-06 09:50:00-04:00,24184.9,24070.300664937415,24414.098670125175,2026-04-06 13:10:00-04:00,24070.300664937415,SL,-1.0,-500.0
2026-04-09,reversal,SHORT,2026-04-09 09:40:00-04:00,2026-04-09 09:55:00-04:00,24868.2,24939.01700538288,24726.56598923424,2026-04-09 11:30:00-04:00,24939.01700538288,SL,-1.0,-500.0
2026-04-20,reversal,LONG,2026-04-20 09:40:00-04:00,2026-04-20 09:55:00-04:00,26614.0,26573.740544588883,26694.518910822233,2026-04-20 10:15:00-04:00,26573.740544588883,SL,-1.0,-500.0
2026-04-21,reversal,LONG,2026-04-21 09:35:00-04:00,2026-04-21 09:55:00-04:00,26639.1,26569.811451933336,26777.677096133324,2026-04-21 11:00:00-04:00,26569.811451933336,SL,-1.0,-500.0
2026-04-24,reversal,SHORT,2026-04-24 09:40:00-04:00,2026-04-24 09:55:00-04:00,27056.7,27121.235654185446,26927.62869162911,2026-04-24 10:10:00-04:00,27121.235654185446,SL,-1.0,-500.0
2026-05-07,reversal,LONG,2026-05-07 09:45:00-04:00,2026-05-07 09:55:00-04:00,28653.5,28587.633720382935,28785.23255923413,2026-05-07 10:35:00-04:00,28785.23255923413,TP,2.0,1000.0
2026-05-20,reversal,SHORT,2026-05-20 09:45:00-04:00,2026-05-20 09:55:00-04:00,29014.0,29106.38912996871,28829.22174006258,2026-05-20 10:15:00-04:00,29106.38912996871,SL,-1.0,-500.0
2026-06-01,reversal,SHORT,2026-06-01 09:40:00-04:00,2026-06-01 09:55:00-04:00,30322.2,30392.46285571991,30181.67428856018,2026-06-01 11:05:00-04:00,30392.46285571991,SL,-1.0,-500.0
2026-06-04,reversal,SHORT,2026-06-04 09:35:00-04:00,2026-06-04 09:45:00-04:00,30228.5,30314.032474094474,30057.43505181105,2026-06-04 11:00:00-04:00,30314.032474094474,SL,-1.0,-500.0
2026-07-01,reversal,LONG,2026-07-01 09:40:00-04:00,2026-07-01 09:50:00-04:00,29922.8,29826.76608483434,30114.867830331317,2026-07-01 15:55:00-04:00,29826.76608483434,SL,-1.0,-500.0
2026-07-20,reversal,SHORT,2026-07-20 09:35:00-04:00,2026-07-20 09:55:00-04:00,28888.8,28995.276542622087,28675.846914755824,2026-07-20 15:00:00-04:00,28675.846914755824,TP,2.0,1000.0
2026-07-29,reversal,SHORT,2026-07-29 09:35:00-04:00,2026-07-29 09:50:00-04:00,27706.2,27852.531473546893,27413.537052906217,2026-07-29 10:25:00-04:00,27413.537052906217,TP,2.0,1000.0
2026-08-14,reversal,LONG,2026-08-14 09:35:00-04:00,2026-08-14 09:45:00-04:00,30125.5,30068.067031198447,30240.365937603106,2026-08-14 10:20:00-04:00,30068.067031198447,SL,-1.0,-500.0
2026-08-18,reversal,SHORT,2026-08-18 09:40:00-04:00,2026-08-18 09:50:00-04:00,29593.2,29684.524873174112,29410.550253651778,2026-08-18 20:00:00-04:00,29410.550253651778,TP,2.0,1000.0
